,Title,Subtitle,CELEX number,Current consolidated version,Latest consolidated version,LP_Legal basis,ELI,Form,EUROVOC descriptor,ECLI identifier,Subject matter,Directory code,Case-Law directory code (before Lisbon),Case-Law directory code (after Lisbon),Legal basis,Transposed legal act(s),Rectified by,Type of procedure,Collection of the document,Date of document,Date of publication,Author,Date of effect,Date of end of validity,Date of transposition,Applicant/Appellant,Defendant/Other parties to the proceedings,In force indicator,Publication Reference,Unnamed: 29,Unnamed: 6
257,Agreement between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine for Co-operation in the Peaceful Uses of Nuclear Energy,,22006A0922(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 261, 22/09/2006, p. 27–31
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",,
258,"2006/626/Euratom: Commission Decision of 15 February 2006 pursuant to Article 83 of the Treaty establishing the European Atomic Energy Community. A summary of the key provisions of the Decision are set out below, without prejudice to the full effect of the Decision itself (notified under document number C(2006) 412)   (Text with EEA relevance)",,32006D0626,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 255, 19/09/2006, p. 5–6
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",,
259,The Energy Community Treaty,,22006A0720(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 198, 20/07/2006, p. 18–37
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",,
260,Commission Recommendation of  15 December 2005  on guidelines for the application of Regulation (Euratom) No 302/2005 on the application of Euratom safeguards  (notified under document number C(2005) 5127),,32006H0040,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 28, 01/02/2006, p. 1–85
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",,
262,Commission Recommendation of  7 December 2005  on the release of security oil stocks following the supply disruption caused by Hurricane Katrina  (notified under document number C(2005) 4655),,32005H0885,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 326, 13/12/2005, p. 37–38
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",,
263,Agreement for cooperation between the Government of the Republic of Kazakhstan and the European Atomic Energy Community in the field of controlled nuclear fusion,,22005A0607(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 143, 07/06/2005, p. 28–33
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",,
264,2005/336/: Council Decision of 18 April 2005 amending the Council Decision of 16 December 1980 setting up the Consultative Committee for the Fusion Programme,,32005D0336,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 108, 29/04/2005, p. 64–65
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 352M , 31/12/2008, p. 129–130
		 (MT), This document has been published in a special edition(s) (
           		BG, RO)
		",,
266,"2005/42/EC: Commission Decision of 22 December 2004 determining the Community position for a decision of the Management entities under the Agreement between the Government of the United States of America and the European Community on the coordination of energy-efficient labelling programmes for office equipment on the revision of Annex C, part II, defining monitor specifications",,32005D0042,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 20, 22/01/2005, p. 24–33
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",,
270,Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community (Euratom) and the Government of the Republic of Uzbekistan,,22003A1021(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 269, 21/10/2003, p. 9–17
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO)
		",,
277,Framework agreement on a Multilateral Nuclear Environmental Programme in the Russian Federation,,22003A0624(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 155, 24/06/2003, p. 37–42
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
278,2003/269/EC: Council Decision of 8 April 2003 concerning the conclusion on behalf of the Community of the Agreement between the Government of the United States of America and the European Community on the coordination of energy-efficient labelling programmes for office equipment,,32003D0269,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 99, 17/04/2003, p. 47–48
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, HR)
		",,
280,2003/29/ECSC: Commission Decision of 17 July 2002 authorising the United Kingdom to grant aid to eight coal production units for 2001 and for the period from 1 January 2002 to 23 July 2002 (notified under document number C(2002) 2609) (Text with EEA relevance),,32003D0029,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 17, 22/01/2003, p. 40–43
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
282,Agreement for Cooperation between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of nuclear safety,,22002A1127(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 322, 27/11/2002, p. 33–39
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
283,Agreement for Cooperation between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of controlled nuclear fusion,,22002A1127(02),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 322, 27/11/2002, p. 40–46
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
285,2002/871/EC: Commission Decision of 17 October 2002 establishing a joint framework for the communication of information needed for the application of Council Regulation (EC) No 1407/2002 on State aid to the coal industry (notified under document number C(2002) 3783),,32002D0871,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 300, 05/11/2002, p. 42–57
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
286,2002/826/ECSC: Commission decision of 2 July 2002 on financial measures by Spain in respect of the coal industry in 2001 and in the period 1 January 2002 to 23 July 2002 (Text with EEA relevance.) (notified under document number C(2002) 2438),,32002D0826,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 296, 30/10/2002, p. 73–79
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
287,"2002/827/ECSC: Commission decision of 2 July 2002 on the granting by Spain of aid to the undertaking González y Díez SA in 1998, 2000 and 2001 (Text with EEA relevance.) (notified under document number C(2002) 2441)",,32002D0827,2004-04-23,2004-04-23,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 296, 30/10/2002, p. 80–85
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
288,2002/786/ECSC: Commission decision of 5 May 2002 authorising the United Kingdom to grant aid to six coal production units for 2001 and for the period from 1 January 2002 to 23 July 2002 (Text with EEA relevance.) (notified under document number C(2002) 2016),,32002D0786,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 282, 19/10/2002, p. 66–69
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
289,2002/787/ECSC: Commission decision of 23 July 2002 concerning State aid to the French coal industry for 1998 to 2001 (Text with EEA relevance.) (notified under document number C(2002) 2792),,32002D0787,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 282, 19/10/2002, p. 70–76
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
296,Commission Decision of 24 April 2002 authorising the United Kingdom to grant aid to four coal production units for 2001 (Text with EEA relevance) (notified under document number C(2002) 1447),,32002D0582,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 184, 13/07/2002, p. 37–39
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
297,"Commission Decision of 22 May 2002 on the granting by Spain of aid to the undertaking Hunosa in 1998, 1999, 2000 and 2001 (Text with EEA relevance) (notified under document number C(2002) 1895)",,32002D0583,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 184, 13/07/2002, p. 40–43
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
298,Commission Decision of 9 April 2002 concerning the use of State aid to the French coal industry for 1994 to 1997 (Text with EEA relevance) (notified under document number C(2002) 1329),,32002D0541,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 176, 05/07/2002, p. 26–42
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
307,Commission Decision of 11 December 2001 on the granting by Spain of aid to the coal industry in 2001 (Text with EEA relevance) (notified under document number C(2001) 3975),,32002D0241,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 82, 26/03/2002, p. 11–17
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
308,Commission Decision of 2 October 2001 on German aid to the coal industry for the period from 1 January 2002 to 23 July 2002 (Text with EEA relevance) (notified under document number C(2001) 3005),,32002D0171,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 56, 27/02/2002, p. 27–31
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
309,Commission Decision of 17 October 2001 authorising the United Kingdom to grant aid to two coal production units for 2000 and 2001 (Text with EEA relevance) (notified under document number C(2001) 3081),,32002D0082,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 35, 06/02/2002, p. 19–21
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
313,Commission Decision of 25 July 2001 authorising the United Kingdom to grant aid to four coal production units for 2001 (Text with EEA relevance) (notified under document number C(2001) 2434),,32001D0807,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 305, 22/11/2001, p. 27–29
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
315,2001/761/Euratom: Council Decision of 27 September 2001 authorising the conclusion by the Commission of two Cooperation Agreements between the European Autonomic Energy Community and the Government of the Russian Federation in the fields of nuclear safety and controlled nuclear fusion,,32001D0761,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 287, 31/10/2001, p. 21–22
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
316,"2001/597/ECSC: Commission Decision of 11 April 2001 authorising the United Kingdom to grant aid to nine coal production units for the period from 17 April to 31 December 2000, and to amend the restructuring plan for the coal industry (Text with EEA relevance) (notified under document number C(2001) 1089)",,32001D0597,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 210, 03/08/2001, p. 32–36
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
317,2001/595/EC: Council Decision of 13 July 2001 on the conclusion by the European Community of the Amendment to the trade-related provisions of the Energy Charter Treaty,,32001D0595,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 209, 02/08/2001, p. 32–32
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
319,"2001/546/EC: Commission Decision of 11 July 2001 setting up a consultative committee, to be known as the \European Energy and Transport Forum\"" (notified under document number C(2001) 1843)""",,32001D0546,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 195, 19/07/2001, p. 58–60
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
320,Agreement for cooperation between the European Atomic Energy Community represented by the Commission of the European Communities and the Department of Energy of the United States of America in the field of fusion energy research and development,,22001A0601(01),,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 148, 01/06/2001, p. 80–85
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
321,Commission Decision of 21 December 2000 on German aid to the coal industry for 2000 and 2001 (Text with EEA relevance) (notified under document number C(2000) 4407),,32001D0361,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 127, 09/05/2001, p. 55–63
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
322,"Commission Decision of 13 February 2001 authorising the United Kingdom to grant aid to the coal industry, covering the period from 17 April 2000 to 31 December 2000 (Text with EEA relevance) (notified under document number C(2001) 401)",,32001D0340,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 122, 03/05/2001, p. 23–25
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
325,2001/162/EC: Commission Decision of 13 December 2000 on the granting by Spain of aid to the coal industry in 2000 (Text with EEA relevance) (notified under document number C(2000) 4190),,32001D0162,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 58, 28/02/2001, p. 24–28
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
326,2001/58/ECSC: Commission Decision of 20 September 2000 authorising France to grant aid to the coal industry for 2000 (Text with EEA relevance) (notified under document number C(2000) 2923),,32001D0058,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 21, 23/01/2001, p. 12–14
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
335,1999/791/EC: Commission Decision of 8 July 1999 concerning the application of the United Kingdom of Great Britain and Northern Ireland for a transitional regime under Article 24 of Directive 96/92/EC of the European Parliament and of the Council concerning common rules for the internal market in electricity (notified under document number C(1999) 1551/1) (Only the English text is authentic),,31999D0791,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 319, 11/12/1999, p. 1–5
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
336,1999/794/EC: Commission Decision of 8 July 1999 concerning the German application for a transitional regime under Article 24 of Directive 96/92/EC of the European Parliament and of the Council concerning common rules for the internal market in electricity (notified under document number C(1999) 1551/4) (Only the German text is authentic),,31999D0794,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 319, 11/12/1999, p. 18–29
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
337,1999/792/EC: Commission Decision of 8 July 1999 concerning the application of France for a transitional regime under Article 24 of Directive 96/92/EC of the European Parliament and of the Council concerning common rules for the internal market in electricity (notified under document number C(1999) 1551/2) (Only the French text is authentic),,31999D0792,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 319, 11/12/1999, p. 6–11
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
338,1999/796/EC: Commission Decision of 8 July 1999 concerning the application of the Netherlands for a transitional regime under Article 24 of Directive 96/92/EC of the European Parliament and of the Council concerning common rules for the internal market in electricity (notified under document number C(1999) 1551/6) (Only the Dutch text is authentic),,31999D0796,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 319, 11/12/1999, p. 34–40
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
339,1999/793/EC: Commission Decision of 8 July 1999 concerning the application of Luxembourg for a transitional regime under Article 24 of Directive 96/92/EC of the European Parliament and of the Council concerning common rules for the internal market in electricity (notified under document number C(1999) 1551/3) (Only the French text is authentic),,31999D0793,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 319, 11/12/1999, p. 12–17
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
340,1999/798/EC: Commission Decision of 8 July 1999 concerning the Danish application for a transitional regime under Article 24 of Directive 96/92/EC of the European Parliament and of the Council concerning common rules for the internal market in electricity (notified under document number C(1999) 1551/8) (Only the Danish text is authentic),,31999D0798,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 319, 11/12/1999, p. 47–52
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
341,1999/795/EC: Commission Decision of 8 July 1999 concerning the Austrian application for a transitional regime under Article 24 of Directive 96/92/EC of the European Parliament and of the Council concerning common rules for the internal market in electricity (notified under document number C(1999) 1551/5) (Only the German text is authentic),,31999D0795,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 319, 11/12/1999, p. 30–33
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
342,1999/797/EC: Commission Decision of 8 July 1999 concerning the application of the Spanish Government for a transitional regime under Article 24 of Directive 96/92/EC of the European Parliament and of the Council concerning common rules for the internal market in electricity (notified under document number C(1999) 1551/7) (Only the Spanish text is authentic),,31999D0797,,,,,,,,,,,,,,,,,,,,,,,,,,"OJ L 319, 11/12/1999, p. 41–46
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
